LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE/KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,NO_OF_OWNERS,VEHICLE_TYPE,MILEAGE_KM
https://www.sgcarmart.com/used_cars/info.php?ID=859263&DL=2025,Mercedes-Benz,249888,22760,22-Mar-2019,,2017.0,1202.0,Auto,110441.0,20/06/2020,71808.0,101255.0,39401.0,,1991.0,1.0,Sports Car,56.0
https://www.sgcarmart.com/used_cars/info.php?ID=889757&DL=3030,Peugeot,56888,5870,26-Feb-2020,,2019.0,,Manual,20918.0,20/06/2020,24811.0,1241.0,21586.0,3530.0,1560.0,,Van,
https://www.sgcarmart.com/used_cars/info.php?ID=898501&DL=1213,Honda,103800,12580,09-Mar-2017,,2016.0,1630.0,Auto,62967.0,20/06/2020,33296.0,38615.0,50621.0,2436.0,2356.0,1.0,MPV,28910.0
https://www.sgcarmart.com/used_cars/info.php?ID=904671&DL=3544,Proton,35500,8570,11-Aug-2009,,2009.0,816.0,Auto,12149.0,20/06/2020,14109.0,12721.0,14664.0,1491.0,1597.0,3.0,MPV,159000.0
https://www.sgcarmart.com/used_cars/info.php?ID=898174&DL=2087,Nissan,,,27-Apr-2016,,2016.0,1210.0,Auto,,20/06/2020,22509.0,23513.0,46502.0,1831.0,1997.0,1.0,SUV,
https://www.sgcarmart.com/used_cars/info.php?ID=905135&DL=2976,Perodua,6500,8040,12-Apr-2006,,2006.0,546.0,Auto,3724.0,20/06/2020,6170.0,4231.0,23039.0,,989.0,3.0,Hatchback,
https://www.sgcarmart.com/used_cars/info.php?ID=903077&DL=1000,Porsche,138000,13800,18-Jun-2010,,2010.0,5210.0,Auto,33559.0,20/06/2020,128402.0,128402.0,33568.0,3323.0,4806.0,3.0,Sports Car,120000.0
https://www.sgcarmart.com/used_cars/info.php?ID=904074&DL=2953,Nissan,33800,5730,13-May-2016,,2016.0,,Manual,25354.0,20/06/2020,24867.0,1244.0,43002.0,1827.0,2953.0,,Truck,
https://www.sgcarmart.com/used_cars/info.php?ID=904665&DL=1164,Kia,52800,8300,29-Sep-2015,,2015.0,738.0,Auto,42708.0,20/06/2020,17968.0,17968.0,55399.0,1923.0,1591.0,1.0,Mid-Sized Sedan,47000.0
https://www.sgcarmart.com/used_cars/info.php?ID=880545&DL=1054,Nissan,54800,9060,10-Oct-2015,,2015.0,508.0,Auto,40573.0,20/06/2020,18413.0,13413.0,57498.0,1924.0,1197.0,1.0,SUV,61950.0
https://www.sgcarmart.com/used_cars/info.php?ID=903901&DL=2389,Porsche,,,22-Dec-2011,,2011.0,3322.0,Auto,,20/06/2020,81039.0,81039.0,,,3598.0,4.0,SUV,
https://www.sgcarmart.com/used_cars/info.php?ID=895784&DL=2934,Opel,67955,7330,19-Mar-2018,,2017.0,392.0,Auto,46825.0,20/06/2020,21657.0,22320.0,38830.0,2802.0,999.0,1.0,Stationwagon,38000.0
https://www.sgcarmart.com/used_cars/info.php?ID=905055&DL=1000,Volkswagen,45000,13880,27-Jun-2013,,2013.0,624.0,Auto,25172.0,20/06/2020,20919.0,6287.0,69903.0,,1395.0,4.0,Hatchback,119000.0
https://www.sgcarmart.com/used_cars/info.php?ID=899665&DL=3441,Mercedes-Benz,163800,13970,18-Mar-2020,,2019.0,,Auto,73392.0,20/06/2020,45168.0,55236.0,32801.0,3530.0,1497.0,1.0,Luxury Sedan,88.0
https://www.sgcarmart.com/used_cars/info.php?ID=894440&DL=3291,Volvo,,,26-Sep-2012,,2012.0,1824.0,Auto,,20/06/2020,52299.0,52299.0,87999.0,825.0,2521.0,1.0,SUV,
https://www.sgcarmart.com/used_cars/info.php?ID=892819&DL=3392,Nissan,18800,5910,26-Aug-2008,,2008.0,,Manual,9913.0,20/06/2020,23849.0,1193.0,15582.0,1160.0,2953.0,,Truck,
https://www.sgcarmart.com/used_cars/info.php?ID=901297&DL=1000,Alfa,34800,13790,16-Feb-2012,,2011.0,1446.0,Auto,24257.0,20/06/2020,23897.0,23897.0,67101.0,581.0,2198.0,4.0,Luxury Sedan,101000.0
https://www.sgcarmart.com/used_cars/info.php?ID=896082&DL=3218,Mitsubishi,83800,14100,30-May-2016,,2016.0,,Auto,2703.0,20/06/2020,85147.0,4258.0,4548.0,1864.0,11967.0,,Truck,
https://www.sgcarmart.com/used_cars/info.php?ID=873681&DL=3142,Mercedes-Benz,68800,7260,10-Dec-2009,,2009.0,816.0,Auto,30303.0,20/06/2020,36972.0,36972.0,31976.0,3444.0,1597.0,3.0,Luxury Sedan,98850.0
https://www.sgcarmart.com/used_cars/info.php?ID=866547&DL=1000,Volkswagen,51000,10510,30-Jan-2015,,2014.0,624.0,Auto,33899.0,20/06/2020,19226.0,5000.0,65889.0,1679.0,1395.0,2.0,Hatchback,84000.0
https://www.sgcarmart.com/used_cars/info.php?ID=901162&DL=2434,Audi,45800,15950,15-Dec-2011,,2011.0,1194.0,Auto,35603.0,20/06/2020,44243.0,44243.0,75889.0,519.0,1984.0,2.0,Luxury Sedan,117888.0
https://www.sgcarmart.com/used_cars/info.php?ID=895385&DL=2029,Toyota,,,21-Aug-2007,,2007.0,1264.0,Auto,,20/06/2020,17797.0,19577.0,25486.0,,1794.0,2.0,MPV,
https://www.sgcarmart.com/used_cars/info.php?ID=895025&DL=2850,BMW,198800,18260,05-Sep-2019,,2019.0,1210.0,Auto,77164.0,20/06/2020,49368.0,61116.0,34000.0,3350.0,1998.0,1.0,Sports Car,4027.0
https://www.sgcarmart.com/used_cars/info.php?ID=898121&DL=2305,Kia,32800,6560,11-Nov-2010,,2010.0,738.0,Auto,,20/06/2020,14467.0,14467.0,,,1591.0,2.0,Sports Car,122000.0
https://www.sgcarmart.com/used_cars/info.php?ID=903399&DL=1177,Mercedes-Benz,,,20-Mar-2018,,2017.0,2382.0,Auto,,20/06/2020,92086.0,137755.0,45289.0,2803.0,2996.0,1.0,Luxury Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=891529&DL=3287,Volkswagen,,,31-Jan-2019,,2018.0,976.0,Auto,,20/06/2020,32113.0,36959.0,33689.0,3130.0,1798.0,1.0,Luxury Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=904537&DL=3630,Mitsubishi,19888,7710,18-Jan-2008,,2007.0,821.0,Auto,11078.0,20/06/2020,16146.0,17761.0,21485.0,918.0,1499.0,3.0,Mid-Sized Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=890158&DL=2430,Jaguar,197800,18660,04-Oct-2018,,2017.0,2380.0,Auto,89741.0,20/06/2020,63375.0,86075.0,32311.0,3013.0,2995.0,1.0,SUV,46000.0
https://www.sgcarmart.com/used_cars/info.php?ID=890107&DL=3471,Honda,67500,12100,28-Aug-2014,,2014.0,1630.0,Auto,50731.0,20/06/2020,29743.0,33641.0,64889.0,1527.0,2356.0,1.0,MPV,
https://www.sgcarmart.com/used_cars/info.php?ID=904348&DL=1000,Mercedes-Benz,,,07-Oct-2014,,2014.0,2382.0,Auto,,20/06/2020,91599.0,136879.0,72810.0,1556.0,2996.0,2.0,SUV,
https://www.sgcarmart.com/used_cars/info.php?ID=894503&DL=1000,Isuzu,40000,7460,29-Oct-2015,,2015.0,,Auto,7510.0,20/06/2020,27771.0,1389.0,14014.0,1953.0,2999.0,,Truck,47700.0
https://www.sgcarmart.com/used_cars/info.php?ID=893510&DL=1463,Volvo,154999,19700,29-Jun-2016,,2016.0,1176.0,Auto,88820.0,20/06/2020,55921.0,72658.0,57390.0,,1969.0,1.0,SUV,32000.0
https://www.sgcarmart.com/used_cars/info.php?ID=895136&DL=1015,Honda,52800,11760,17-Oct-2013,,2013.0,1628.0,Auto,43273.0,20/06/2020,25290.0,27406.0,76607.0,1191.0,2354.0,2.0,MPV,139587.0
https://www.sgcarmart.com/used_cars/info.php?ID=905297&DL=507,Mitsubishi,,,10-Jan-2013,,,,"$29,516",31799.0,20/06/2020,1476.0,,62201.0,910.0,2977.0,,Truck,
https://www.sgcarmart.com/used_cars/info.php?ID=885993&DL=1103,Nissan,45500,6710,10-Apr-2007,,2006.0,2322.0,Auto,34139.0,20/06/2020,26713.0,29385.0,50347.0,2461.0,2488.0,4.0,MPV,
https://www.sgcarmart.com/used_cars/info.php?ID=887346&DL=3095,Toyota,10800,7050,12-Feb-2007,,2006.0,889.0,Auto,7852.0,20/06/2020,12237.0,8062.0,25636.0,546.0,1497.0,3.0,Mid-Sized Sedan,174000.0
https://www.sgcarmart.com/used_cars/info.php?ID=898273&DL=2199,Honda,60800,8940,27-Sep-2016,,2015.0,682.0,Auto,39422.0,20/06/2020,19495.0,9495.0,51506.0,2286.0,1496.0,1.0,SUV,42000.0
https://www.sgcarmart.com/used_cars/info.php?ID=898359&DL=2978,Mercedes-Benz,103800,12450,27-Mar-2017,,2016.0,740.0,Auto,65254.0,20/06/2020,37206.0,39089.0,53106.0,2466.0,1595.0,1.0,Luxury Sedan,41000.0
https://www.sgcarmart.com/used_cars/info.php?ID=905855&DL=3438,Audi,58800,6890,21-Apr-2009,,2009.0,1074.0,Auto,26937.0,20/06/2020,35941.0,35941.0,31553.0,3101.0,1798.0,,Luxury Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=892578&DL=2976,Toyota,57800,6930,23-Oct-2018,,2018.0,,Manual,21041.0,20/06/2020,28136.0,1407.0,25213.0,3042.0,2982.0,,Van,53000.0
https://www.sgcarmart.com/used_cars/info.php?ID=900734&DL=1353,BMW,59800,6890,23-Feb-2009,,2008.0,1976.0,Auto,27725.0,20/06/2020,51462.0,51462.0,31933.0,3162.0,2497.0,4.0,Luxury Sedan,159332.0
https://www.sgcarmart.com/used_cars/info.php?ID=904279&DL=2794,Toyota,,,29-Jan-2019,,2018.0,,Manual,,20/06/2020,27082.0,1355.0,23470.0,3138.0,2982.0,,Truck,
https://www.sgcarmart.com/used_cars/info.php?ID=905479&DL=1000,Porsche,158000,22570,12-Aug-2015,,2015.0,1194.0,Auto,96541.0,20/06/2020,62103.0,83786.0,65501.0,1857.0,1984.0,2.0,SUV,61000.0
https://www.sgcarmart.com/used_cars/info.php?ID=903899&DL=511,Volkswagen,,,27-Apr-2015,,2014.0,620.0,Auto,,20/06/2020,19153.0,9153.0,67601.0,1466.0,1390.0,1.0,Mid-Sized Sedan,
